"Event time (s)","Interval (s)"
1.014041667E0,5.037291667E-1
1.517770833E0,4.530000000E-1
1.970770833E0,4.111458333E-1
2.381916667E0,3.761041667E-1
2.758020833E0,3.466875000E-1
3.104708333E0,3.205625000E-1
3.425270833E0,2.982083333E-1
3.723479167E0,2.782916667E-1
4.001770833E0,2.587916667E-1
4.260562500E0,2.425416667E-1
4.503104167E0,2.272500000E-1
4.730354167E0,2.136458333E-1
4.944000000E0,2.007291667E-1
5.144729167E0,1.889583333E-1
5.333687500E0,1.781875000E-1
5.511875000E0,1.677708333E-1
5.679645833E0,1.582708333E-1
5.837916667E0,1.492083333E-1
5.987125000E0,1.414375000E-1
6.128562500E0,1.317916667E-1
6.260354167E0,1.248958333E-1
6.385250000E0,1.178541667E-1
6.503104167E0,1.100000000E-1
6.613104167E0,0.000000000E0
